Stereotype Token 1	Stereotype Token 2	Similarity Score
rich	rich	1.0000001
poetry	poet	0.736777
beautiful	beautiful	1.0
thin	thin	1.0
finance	accountant	0.34921458
successful	successful	1.0
art	art	1.0000001
eating	vegan	0.43172073
vocals	guitarist	0.64029413
cooking	cooking	1.0000001
fashion	designer	0.44304067
inferior	lowly	0.36877733
poor	wretched	0.5333703
protected	protective	0.4086024
love	hated	0.47259513
music	musician	0.56207716
university	academic	0.63171995
family	caring	0.3965218
staff	assistant	0.3833747
financier	enterpreneur	0.45672396
vulnerable	powerless	0.39856842
cast	actor	0.3734564
office	clerk	0.35070068
journalism	journalist	0.5779872
strong	strong	1.0
chemical	chemist	0.4955343
expensive	fancy	0.40608507
business	businessperson	0.44731387
diet	vegetarian	0.4785964
engineering	engineer	0.676618
military	diplomat	0.3924375
bold	brave	0.46276152
kind	kind	1.0000001
medicine	physician	0.5099453
art	artist	0.5701863
emotional	emotional	0.9999999
sensible	smart	0.46989572
vulnerable	helpless	0.451432
educated	educated	1.0000001
