Region	StereoType
andamanese	a
andamanese	well
andamanese	v
andamanese	d
andamanese	an
andamanese	the
andamanese	in
andamanese	p
andamanese	D
andamanese	such
andamanese	n
andamanese	s
andamanese	e
andamanese	f
andamanese	N
andamanese	c
andamanese	bl
andamanese	ad
andamanese	as
andamanese	sp
andamanese	br
andamanese	P
andamanese	J
andamanese	S
andamanese	g
andamanese	##d
andamanese	no
andamanese	sol
andamanese	evidence
andamanese	k
andamanese	resp
andamanese	M
andamanese	result
andamanese	vol
andamanese	m
andamanese	I
andamanese	al
andamanese	,
andamanese	vs
andamanese	tr
andamanese	i
andamanese	.
andamanese	not
andamanese	R
andamanese	of
andamanese	A
andamanese	ph
andamanese	so
andamanese	ch
andamanese	do
andamanese	""""
andamanese	-
andamanese	it
andamanese	fl
andamanese	far
andamanese	V
andamanese	to
andamanese	/
andamanese	did
andamanese	o
andamanese	per
andamanese	E
andamanese	all
andamanese	T
andamanese	more
andamanese	B
andamanese	H
andamanese	many
andamanese	r
andamanese	Ch
andamanese	opposed
andamanese	K
andamanese	fast
andamanese	sh
andamanese	G
andamanese	di
andamanese	both
andamanese	F
andamanese	this
andamanese	etc
andamanese	##t
andamanese	pl
andamanese	b
andamanese	t
andamanese	respect
andamanese	and
andamanese	##o
andamanese	followed
andamanese	is
andamanese	support
andamanese	much
andamanese	u
andamanese	de
andamanese	needed
andamanese	L
andamanese	con
andamanese	used
andamanese	co
andamanese	C
andamanese	l
andamanese	a
andamanese	people
andamanese	children
andamanese	as
andamanese	men
andamanese	police
andamanese	d
andamanese	agriculture
andamanese	teacher
andamanese	labor
andamanese	the
andamanese	s
andamanese	workers
andamanese	well
andamanese	they
andamanese	teachers
andamanese	labour
andamanese	so
andamanese	in
andamanese	engineer
andamanese	co
andamanese	such
andamanese	students
andamanese	their
andamanese	themselves
andamanese	work
andamanese	an
andamanese	,
andamanese	p
andamanese	k
andamanese	women
andamanese	school
andamanese	food
andamanese	them
andamanese	hospital
andamanese	al
andamanese	military
andamanese	self
andamanese	man
andamanese	farmers
andamanese	agricultural
andamanese	/
andamanese	child
andamanese	D
andamanese	sons
andamanese	road
andamanese	education
andamanese	.
andamanese	village
andamanese	one
andamanese	home
andamanese	ye
andamanese	brick
andamanese	worker
andamanese	farming
andamanese	son
andamanese	slaves
andamanese	primary
andamanese	civilians
andamanese	de
andamanese	c
andamanese	no
andamanese	[
