Religion	StereoType
christian	ballet dancer
christian	travelling
christian	music
christian	brave
christian	fashion designer
christian	non-vegetarian
christian	photographer
christian	art
christian	artist
christian	treasurer
christian	designer
christian	blacksmith
christian	janitor
christian	calm
christian	sociologist
christian	vegan
christian	lowly
christian	linguist
christian	factory worker
christian	athlete
christian	waiter
christian	chef
christian	management
christian	washerman
christian	writer
christian	construction worker
christian	successful
christian	pensioner
christian	banker
christian	thin
christian	humanities
christian	beautiful
christian	mathematician
christian	uneducated
christian	interior designer
christian	baker
christian	middle class
christian	academic
christian	football player
christian	diplomat
christian	aggressive
christian	business
christian	priest
christian	fisherman
christian	manager
christian	wedding planner
christian	enterpreneur
christian	coach
christian	shopping
christian	software developer
christian	home maker
christian	composer
christian	dentist
christian	sheriff
christian	courageous
christian	politician
christian	physician
christian	educated
christian	protective
christian	electrician
christian	tailor
christian	assistant
christian	farmer
christian	gardener
christian	caring
christian	supervisor
christian	respected
christian	lifegaurd
christian	cooking
christian	cleaner
christian	computer science
christian	performing artist
christian	musician
christian	mover
christian	strong
christian	security gaurd
christian	fancy
christian	dancer
christian	opera singer
christian	kind
christian	author
christian	teacher
christian	guitarist
christian	librarian
christian	singer
christian	english
christian	salesperson
christian	caregiving
christian	actor
christian	businessperson
christian	firefighter
christian	flight attendant
christian	engineer
christian	receptionist
christian	bartender
christian	dance
jain	rich
jain	civil servant
jain	poet
jain	beautiful
jain	thin
jain	accountant
jain	successful
jain	handyman
jain	middle class
jain	art
jain	pandit
jain	vegan
jain	guitarist
jain	factory worker
jain	fashion designer
jain	cooking
jain	designer
jain	humanities
jain	lowly
jain	wretched
jain	protective
jain	hated
jain	musician
jain	academic
jain	caring
jain	interior designer
jain	assistant
jain	enterpreneur
jain	powerless
jain	actor
jain	land owner
jain	clerk
jain	journalist
jain	manager
jain	strong
jain	phamacist
jain	chemist
jain	performing artist
jain	fancy
jain	businessperson
jain	vegetarian
jain	engineer
jain	diplomat
jain	home maker
jain	brave
jain	kind
jain	physician
jain	artist
jain	emotional
jain	smart
jain	helpless
jain	educated
buddhist	librarian
buddhist	designer
buddhist	historian
buddhist	shopping
buddhist	helpless
buddhist	butcher
buddhist	cooking
buddhist	software developer
buddhist	uneducated
buddhist	handsome
buddhist	mathematician
buddhist	fancy
buddhist	performing artist
buddhist	athlete
buddhist	business
buddhist	factory worker
buddhist	gardener
buddhist	linguist
buddhist	dentist
buddhist	calm
buddhist	supervisor
buddhist	educated
buddhist	kind
buddhist	prosecuter
buddhist	vegan
buddhist	respected
buddhist	art
buddhist	architect
buddhist	artist
buddhist	analyst
buddhist	accountant
buddhist	humanities
buddhist	protective
buddhist	vegetarian
buddhist	middle class
buddhist	sheriff
buddhist	interior designer
buddhist	academic
buddhist	photographer
buddhist	salesperson
buddhist	brave
buddhist	swimmer
buddhist	caring
buddhist	pandit
buddhist	enterpreneur
buddhist	physician
buddhist	priest
buddhist	illiterate
buddhist	businessperson
buddhist	fashion designer
buddhist	beautiful
muslim	caregiving
muslim	physics
muslim	aggressive
muslim	academic
muslim	musician
muslim	interior designer
muslim	umpire
muslim	composer
muslim	teacher
muslim	realtor
muslim	travelling
muslim	illustrator
muslim	lawyer
muslim	designer
muslim	blacksmith
muslim	pilot
muslim	terrorist
muslim	chef
muslim	handyman
muslim	pensioner
muslim	journalist
muslim	illiterate
muslim	tailor
muslim	washerman
muslim	real-estate developer
muslim	tennis player
muslim	director
muslim	opera singer
muslim	restaurateur
muslim	dance
muslim	producer
muslim	scientist
muslim	writer
muslim	politics
muslim	artist
muslim	professor
muslim	land owner
muslim	model
muslim	judge
muslim	educated
muslim	middle class
muslim	goldsmith
muslim	mathematician
muslim	criminal
muslim	business
muslim	technology
muslim	analyst
muslim	bread-winning
muslim	lowly
muslim	architect
muslim	maths
muslim	spicy
muslim	history
muslim	athlete
muslim	janitor
muslim	flight attendant
muslim	broker
muslim	phamacist
muslim	businessperson
muslim	chief
muslim	cleaner
muslim	home maker
muslim	golfer
muslim	librarian
muslim	strong
muslim	construction worker
muslim	psychologist
muslim	receptionist
muslim	successful
muslim	clerk
muslim	historian
muslim	hated
muslim	linguist
muslim	powerful
muslim	secretary
muslim	singer
muslim	firefighter
muslim	waiter
muslim	beaurocrat
muslim	mechanic
muslim	fashion designer
muslim	software developer
muslim	protective
muslim	dancer
muslim	detective
muslim	brave
muslim	management
muslim	oppressive
muslim	manager
muslim	science
muslim	humanities
muslim	english
muslim	cooking
muslim	unclean
muslim	carpenter
muslim	baker
muslim	gardener
muslim	performing artist
muslim	boxer
muslim	factory worker
muslim	art
muslim	actor
