Stereotype Token 1	Stereotype Token 2	Similarity Score
cuisine	chef	0.6076894
cooking	cook	0.7584656
rich	rich	1.0000001
confused	angry	0.56437474
sport	athlete	0.51244277
soldiers	commander	0.44184643
musicians	composer	0.5193542
emotional	emotional	0.9999999
beautiful	handsome	0.44486606
style	model	0.32911307
politics	politics	1.0
powerful	powerful	1.0
respected	respected	1.0
veg	vegetarian	0.5158845
army	army	1.0
business	business	1.0000001
actors	actor	0.6519853
music	music	1.0000001
police	police	1.0000002
Dr	ceo	0.3342542
dance	dancer	0.6916879
dance	dance	1.0000002
man	driver	0.38011843
artists	artist	0.7834818
strong	strong	1.0
farmers	farmer	0.768983
kind	kind	1.0000001
singers	singer	0.6150496
successful	successful	1.0
violence	violent	0.62438154
wise	smart	0.4707729
beautiful	beautiful	1.0
comedy	comedian	0.65167975
academic	academic	1.0000001
personnel	guard	0.30970624
covered	covered	1.0000001
official	diplomat	0.430682
educated	educated	1.0000001
soldiers	soldier	0.7634839
musicians	musician	0.70694643
bold	brave	0.46276152
police	policeman	0.60997623
tournament	golfer	0.45953223
fighters	boxer	0.51208895
fat	fat	1.0000001
expensive	fancy	0.40608507
cooking	baker	0.39742088
bold	courageous	0.49756005
cuisine	spicy	0.55230427
aggressive	ruthless	0.43375805
