Stereotype Token 1	Stereotype Token 2	Similarity Score
business	business	1.0000001
cricket	cricketer	0.73725796
dance	dancer	0.6916879
English	english	0.6651164
personnel	guard	0.30970624
powerful	powerful	1.0
strong	strong	1.0
police	police	1.0000002
actors	actor	0.6519853
army	army	1.0
Dr	ceo	0.3342542
method	model	0.35497576
dance	dance	1.0000002
soldiers	commander	0.44184643
singers	singer	0.6150496
accident	driver	0.3969291
farmer	farmer	1.0000001
art	art	1.0000001
music	music	1.0000001
politicians	politician	0.61956024
sport	athlete	0.51244277
