Stereotype Token 1	Stereotype Token 2	Similarity Score
academic	academic	1.0000001
art	artist	0.5701863
Fashion	designer	0.3905428
man	fisherman	0.35745868
music	music	1.0000001
poet	musician	0.5716163
politicians	politician	0.61956024
powerful	powerful	1.0
production	producer	0.51410484
chief	director	0.56674397
police	police	1.0000002
business	business	1.0000001
film	actor	0.5235842
politics	politics	1.0
art	art	1.0000001
style	model	0.32911307
song	singer	0.52510333
Dance	dance	0.73953944
Cricket	cricketer	0.53068316
farmers	farmer	0.768983
rich	rich	1.0000001
poet	composer	0.5995745
finance	treasurer	0.43577704
police	policeman	0.60997623
official	diplomat	0.430682
educated	educated	1.0000001
diet	vegetarian	0.4785964
bold	courageous	0.49756005
