Region	StereoType
goan	a
goan	well
goan	p
goan	the
goan	d
goan	in
goan	P
goan	v
goan	Mr
goan	c
goan	of
goan	k
goan	no
goan	D
goan	an
goan	br
goan	g
goan	i
goan	s
goan	this
goan	.
goan	co
goan	S
goan	vol
goan	t
goan	R
goan	A
goan	J
goan	child
goan	,
goan	sp
goan	bl
goan	-
goan	""""
goan	m
goan	as
goan	children
goan	r
goan	to
goan	it
goan	so
goan	n
goan	Mrs
goan	such
goan	all
goan	f
goan	G
goan	al
goan	T
goan	do
goan	vs
goan	b
goan	N
goan	o
goan	per
goan	e
goan	I
goan	/
goan	K
goan	M
goan	man
goan	##o
goan	part
goan	sh
goan	u
goan	ad
goan	they
goan	1
goan	ph
goan	far
goan	L
goan	fl
goan	##d
goan	god
goan	people
goan	many
goan	con
goan	and
goan	etc
goan	com
goan	land
goan	pl
goan	result
goan	B
goan	w
goan	teacher
goan	that
goan	on
goan	one
goan	their
goan	dr
goan	old
goan	good
goan	lot
goan	follows
goan	fast
goan	us
goan	Dr
goan	food
goan	de
goan	a
goan	go
goan	c
goan	p
goan	d
goan	co
goan	work
goan	man
goan	food
goan	well
goan	the
goan	so
goan	farmer
goan	an
goan	s
goan	in
goan	P
goan	robot
goan	k
goan	D
goan	job
goan	i
goan	child
goan	agriculture
goan	people
goan	/
goan	children
goan	gu
goan	as
goan	,
goan	it
goan	farmers
goan	g
goan	.
goan	worker
goan	b
goan	actor
goan	men
goan	Mr
goan	sp
goan	sheep
goan	god
goan	do
goan	al
goan	sh
goan	I
goan	teacher
goan	son
goan	f
goan	o
goan	this
goan	of
goan	ph
goan	br
goan	A
goan	Go
goan	me
goan	super
goan	art
goan	dong
goan	t
goan	G
goan	help
goan	-
goan	ad
goan	business
goan	pay
goan	young
goan	his
goan	dr
goan	no
goan	to
goan	students
goan	ye
goan	himself
goan	family
goan	occupation
goan	workers
goan	ro
goan	he
goan	we
goan	##o
goan	labour
goan	u
goan	paper
goan	fun
goan	one
goan	they
goan	de
goan	local
goan	per
goan	home
goan	part
goan	good
goan	producer
goan	S
goan	jobs
goan	forest
goan	far
goan	:
goan	well
goan	a
goan	go
goan	god
goan	good
goan	he
goan	this
goan	it
goan	so
goan	do
goan	fun
goan	man
goan	far
goan	his
goan	himself
goan	in
goan	the
goan	work
goan	things
goan	you
goan	people
goan	that
goan	##ever
goan	an
goan	job
goan	much
goan	is
goan	us
goan	we
goan	as
goan	##o
goan	to
goan	my
goan	of
goan	one
goan	fast
goan	way
goan	hard
goan	food
goan	all
goan	lot
goan	him
goan	-
goan	Go
goan	me
goan	high
goan	long
goan	always
goan	,
goan	something
goan	co
goan	no
goan	respect
goan	God
goan	super
goan	such
goan	money
goan	gu
goan	Mr
goan	they
goan	saying
goan	doing
goan	thing
goan	charity
goan	on
goan	help
goan	I
goan	day
goan	.
goan	bad
goan	class
goan	many
goan	dong
goan	being
goan	office
goan	i
goan	whole
goan	and
goan	art
goan	gram
goan	child
goan	'
goan	old
goan	ad
goan	hell
goan	come
goan	for
goan	boy
goan	yet
goan	real
goan	k
goan	s
goan	can
goan	young
goan	""""
goan	son
goan	them
goan	be
goan	g
goan	everyone
goan	well
goan	a
goan	go
goan	they
goan	so
goan	far
goan	such
goan	food
goan	god
goan	do
goan	as
goan	sh
goan	in
goan	themselves
goan	br
goan	their
goan	the
goan	fun
goan	""""
goan	g
goan	no
goan	long
goan	d
goan	good
goan	them
goan	this
goan	dong
goan	high
goan	p
goan	fast
goan	c
goan	an
goan	jobs
goan	art
goan	,
goan	agriculture
goan	s
goan	Go
goan	sp
goan	it
goan	corn
goan	ph
goan	sheep
goan	court
goan	/
goan	both
goan	-
goan	pre
goan	.
goan	things
goan	many
goan	vol
goan	k
goan	he
goan	people
goan	much
goan	of
goan	offices
goan	men
goan	materials
goan	we
goan	st
goan	b
goan	children
goan	fl
goan	to
goan	his
goan	these
goan	f
goan	gu
goan	office
goan	co
goan	business
goan	and
goan	students
goan	tools
goan	i
goan	gas
goan	function
