Region	StereoType
gujarati	a
gujarati	P
gujarati	p
gujarati	D
gujarati	etc
gujarati	v
gujarati	the
gujarati	J
gujarati	well
gujarati	d
gujarati	S
gujarati	I
gujarati	R
gujarati	k
gujarati	M
gujarati	in
gujarati	s
gujarati	c
gujarati	G
gujarati	i
gujarati	K
gujarati	""""
gujarati	medium
gujarati	e
gujarati	such
gujarati	.
gujarati	A
gujarati	m
gujarati	sp
gujarati	B
gujarati	people
gujarati	it
gujarati	N
gujarati	,
gujarati	an
gujarati	g
gujarati	br
gujarati	children
gujarati	/
gujarati	V
gujarati	f
gujarati	L
gujarati	education
gujarati	H
gujarati	Hindu
gujarati	district
gujarati	U
gujarati	as
gujarati	Dr
gujarati	vol
gujarati	teachers
gujarati	ad
gujarati	this
gujarati	t
gujarati	Tamil
gujarati	no
gujarati	co
gujarati	of
gujarati	they
gujarati	T
gujarati	per
gujarati	r
gujarati	b
gujarati	language
gujarati	their
gujarati	Hindi
gujarati	sh
gujarati	India
gujarati	government
gujarati	prof
gujarati	com
gujarati	vs
gujarati	village
gujarati	bl
gujarati	teacher
gujarati	resp
gujarati	fast
gujarati	themselves
gujarati	one
gujarati	police
gujarati	to
gujarati	students
gujarati	child
gujarati	al
gujarati	land
gujarati	do
gujarati	u
gujarati	Mr
gujarati	de
gujarati	n
gujarati	Assam
gujarati	more
gujarati	E
gujarati	F
gujarati	dr
gujarati	C
gujarati	many
gujarati	Mrs
gujarati	1
gujarati	agriculture
gujarati	agriculture
gujarati	farmers
gujarati	people
gujarati	workers
gujarati	government
gujarati	police
gujarati	themselves
gujarati	children
gujarati	farming
gujarati	agricultural
gujarati	industry
gujarati	jobs
gujarati	teachers
gujarati	villages
gujarati	a
gujarati	labour
gujarati	work
gujarati	education
gujarati	food
gujarati	labor
gujarati	profession
gujarati	them
gujarati	households
gujarati	they
gujarati	civilians
gujarati	women
gujarati	students
gujarati	Hindu
gujarati	their
gujarati	village
gujarati	religious
gujarati	housing
gujarati	men
gujarati	tourism
gujarati	social
gujarati	professionals
gujarati	business
gujarati	householder
gujarati	rural
gujarati	commerce
gujarati	civilian
gujarati	district
gujarati	community
gujarati	crops
gujarati	services
gujarati	businesses
gujarati	population
gujarati	families
gujarati	household
gujarati	residential
gujarati	employment
gujarati	occupation
gujarati	the
gujarati	as
gujarati	such
gujarati	primary
gujarati	Labour
gujarati	Tamil
gujarati	land
gujarati	roads
gujarati	co
gujarati	schools
gujarati	adults
gujarati	locals
gujarati	poor
gujarati	industries
gujarati	this
gujarati	cattle
gujarati	transport
gujarati	school
gujarati	manufacturing
gujarati	worker
gujarati	Muslims
gujarati	trade
gujarati	in
gujarati	census
gujarati	many
gujarati	religion
gujarati	well
gujarati	films
gujarati	family
gujarati	textile
gujarati	civil
gujarati	residents
gujarati	individuals
gujarati	job
gujarati	living
gujarati	self
gujarati	medium
gujarati	farmer
gujarati	fields
gujarati	tourists
gujarati	transportation
gujarati	it
gujarati	office
gujarati	districts
gujarati	so
gujarati	marriage
gujarati	means
gujarati	child
gujarati	people
gujarati	a
gujarati	themselves
gujarati	they
gujarati	this
gujarati	work
gujarati	well
gujarati	it
gujarati	them
gujarati	police
gujarati	God
gujarati	the
gujarati	good
gujarati	their
gujarati	in
gujarati	one
gujarati	things
gujarati	workers
gujarati	government
gujarati	us
gujarati	so
gujarati	labour
gujarati	man
gujarati	job
gujarati	help
gujarati	god
gujarati	jobs
gujarati	gu
gujarati	food
gujarati	many
gujarati	such
gujarati	as
gujarati	are
gujarati	is
gujarati	do
gujarati	men
gujarati	children
gujarati	industry
gujarati	art
gujarati	women
gujarati	that
gujarati	charity
gujarati	i
gujarati	of
gujarati	Hindu
gujarati	capital
gujarati	an
gujarati	means
gujarati	far
gujarati	I
gujarati	.
gujarati	profession
gujarati	to
gujarati	school
gujarati	way
gujarati	justice
gujarati	teachers
gujarati	these
gujarati	guru
gujarati	students
gujarati	religion
gujarati	society
gujarati	hard
gujarati	Jain
gujarati	self
gujarati	,
gujarati	agriculture
gujarati	language
gujarati	farmers
gujarati	fun
gujarati	office
gujarati	co
gujarati	freedom
gujarati	education
gujarati	money
gujarati	town
gujarati	marriage
gujarati	law
gujarati	let
gujarati	s
gujarati	we
gujarati	worker
gujarati	Assam
gujarati	Government
gujarati	all
gujarati	revenue
gujarati	k
gujarati	social
gujarati	administration
gujarati	day
gujarati	""""
gujarati	Allah
gujarati	sh
gujarati	thing
gujarati	poor
gujarati	and
gujarati	##i
gujarati	paper
gujarati	fast
gujarati	books
gujarati	well
gujarati	themselves
gujarati	they
gujarati	such
gujarati	jobs
gujarati	teachers
gujarati	agriculture
gujarati	them
gujarati	their
gujarati	farmers
gujarati	police
gujarati	a
gujarati	people
gujarati	##ylum
gujarati	priests
gujarati	far
gujarati	children
gujarati	food
gujarati	government
gujarati	profession
gujarati	students
gujarati	this
gujarati	workers
gujarati	office
gujarati	professionals
gujarati	medicine
gujarati	labour
gujarati	merchants
gujarati	offices
gujarati	many
gujarati	as
gujarati	villages
gujarati	work
gujarati	schools
gujarati	the
gujarati	education
gujarati	ministers
