Religion	StereoType
buddhist	well
buddhist	a
buddhist	M
buddhist	c
buddhist	K
buddhist	S
buddhist	follows
buddhist	J
buddhist	E
buddhist	I
buddhist	such
buddhist	C
buddhist	St
buddhist	.
buddhist	R
buddhist	religion
buddhist	p
buddhist	i
buddhist	required
buddhist	T
buddhist	D
buddhist	Dr
buddhist	part
buddhist	U
buddhist	example
buddhist	A
buddhist	art
buddhist	needed
buddhist	G
buddhist	trans
buddhist	P
buddhist	H
buddhist	etc
buddhist	evidence
buddhist	L
buddhist	B
buddhist	b
buddhist	standard
buddhist	Mr
buddhist	F
buddhist	N
buddhist	an
buddhist	whole
buddhist	v
buddhist	references
buddhist	examples
buddhist	opposed
buddhist	literature
buddhist	V
buddhist	Y
buddhist	themes
buddhist	input
buddhist	reference
buddhist	practice
buddhist	W
buddhist	g
buddhist	background
buddhist	pp
buddhist	Christians
buddhist	influences
buddhist	subjects
buddhist	scholars
buddhist	""""
buddhist	PDF
buddhist	self
buddhist	 1
buddhist	index
buddhist	int
buddhist	follow
buddhist	authority
buddhist	tr
buddhist	apos
buddhist	the
buddhist	ed
buddhist	Ref
buddhist	secretary
buddhist	diverse
buddhist	authors
buddhist	publications
buddhist	co
buddhist	s
buddhist	pdf
buddhist	d
buddhist	t
buddhist	ref
buddhist	followers
buddhist	students
buddhist	fr
buddhist	symbols
buddhist	one
buddhist	scholar
buddhist	lit
buddhist	it
buddhist	commentary
buddhist	expected
buddhist	master
buddhist	k
buddhist	Mrs
buddhist	ethics
buddhist	also
buddhist	teachers
buddhist	laborers
buddhist	priests
buddhist	masters
buddhist	monks
buddhist	traders
buddhist	missionaries
buddhist	secretary
buddhist	teacher
buddhist	well
buddhist	.
buddhist	pastor
buddhist	authors
buddhist	scholars
buddhist	a
buddhist	writers
buddhist	workers
buddhist	clerk
buddhist	priest
buddhist	students
buddhist	Buddhists
buddhist	Christians
buddhist	educators
buddhist	lawyers
buddhist	merchants
buddhist	leaders
buddhist	artists
buddhist	imam
buddhist	academics
buddhist	religious
buddhist	consultants
buddhist	clergy
buddhist	men
buddhist	farmers
buddhist	warriors
buddhist	intellectuals
buddhist	followers
buddhist	servants
buddhist	attorneys
buddhist	professors
buddhist	journalists
buddhist	manager
buddhist	professionals
buddhist	translators
buddhist	pp
buddhist	drivers
buddhist	religion
buddhist	practitioners
buddhist	others
buddhist	minister
buddhist	slaves
buddhist	musicians
buddhist	secretaries
buddhist	businessmen
buddhist	master
buddhist	robots
buddhist	people
buddhist	members
buddhist	parents
buddhist	doctors
buddhist	p
buddhist	assistants
buddhist	refugees
buddhist	officials
buddhist	engineers
buddhist	guards
buddhist	elders
buddhist	activists
buddhist	guides
buddhist	c
buddhist	peasants
buddhist	art
buddhist	translator
buddhist	ministry
buddhist	soldiers
buddhist	scholar
buddhist	employees
buddhist	ministers
buddhist	etc
buddhist	miners
buddhist	spiritual
buddhist	churches
buddhist	ts
buddhist	painters
buddhist	leader
buddhist	an
buddhist	business
buddhist	tea
buddhist	teaching
buddhist	nuns
buddhist	missionary
buddhist	the
buddhist	printers
buddhist	educator
buddhist	writer
buddhist	community
buddhist	accountant
buddhist	immigrants
buddhist	attorney
buddhist	prophets
buddhist	well
buddhist	god
buddhist	one
buddhist	God
buddhist	religion
buddhist	leader
buddhist	gods
buddhist	masters
buddhist	such
buddhist	teachers
buddhist	leaders
buddhist	monks
buddhist	a
buddhist	believers
buddhist	Christians
buddhist	friends
buddhist	.
buddhist	people
buddhist	good
buddhist	faith
buddhist	normal
buddhist	self
buddhist	spiritual
buddhist	individuals
buddhist	church
buddhist	king
buddhist	single
buddhist	peace
buddhist	same
buddhist	law
buddhist	always
buddhist	equals
buddhist	kings
buddhist	expected
buddhist	religious
buddhist	master
buddhist	men
buddhist	saying
buddhist	needed
buddhist	laborers
buddhist	priests
buddhist	humans
buddhist	ideal
buddhist	experts
buddhist	scholars
buddhist	do
buddhist	just
buddhist	human
buddhist	communists
buddhist	Buddha
