Stereotype Token 1	Stereotype Token 2	Similarity Score
music	music	1.0000001
bold	brave	0.46276152
painting	photographer	0.33856177
art	art	1.0000001
art	artist	0.5701863
finance	treasurer	0.43577704
Fashion	designer	0.3905428
medieval	blacksmith	0.37371242
man	janitor	0.4005738
stable	calm	0.34859765
psychology	sociologist	0.49011278
eating	vegan	0.43172073
inferior	lowly	0.36877733
translation	linguist	0.4278559
student	athlete	0.42791823
dinner	waiter	0.3972428
cooking	chef	0.4959334
maintenance	management	0.37300548
Hindu	washerman	0.43529785
Writers	writer	0.50984156
successful	successful	1.0
elderly	pensioner	0.5346824
bank	banker	0.60929537
weak	thin	0.42229897
mathematics	humanities	0.6291098
love	beautiful	0.5021157
mathematics	mathematician	0.5621117
educated	uneducated	0.5844438
cooking	baker	0.39742088
university	academic	0.63171995
official	diplomat	0.430682
active	aggressive	0.42134055
financial	business	0.43580225
priest	priest	1.0000001
man	fisherman	0.35745868
general	manager	0.48552543
financier	enterpreneur	0.45672396
pastor	coach	0.38090038
merchants	shopping	0.44529164
music	composer	0.4921351
doctors	dentist	0.43190905
police	sheriff	0.50252634
bold	courageous	0.49756005
politicians	politician	0.61956024
doctors	physician	0.65102845
educated	educated	1.0000001
protected	protective	0.4086024
workers	electrician	0.3863099
specific	tailor	0.42258048
appointed	assistant	0.3773765
farmers	farmer	0.768983
man	gardener	0.32582495
elderly	caring	0.39165866
maintenance	supervisor	0.36194447
respected	respected	1.0
cooking	cooking	1.0000001
efficient	cleaner	0.4679095
music	musician	0.56207716
fast	mover	0.26894066
strong	strong	1.0
expensive	fancy	0.40608507
music	dancer	0.3097822
kind	kind	1.0000001
book	author	0.540513
teachers	teacher	0.7434304
music	guitarist	0.42029345
libraries	librarian	0.523427
song	singer	0.52510333
English	english	0.6651164
someone	salesperson	0.41229603
social	caregiving	0.34040076
Actors	actor	0.47392455
someone	businessperson	0.3850572
fire	firefighter	0.49586013
works	engineer	0.28998226
office	receptionist	0.42119583
drink	bartender	0.41273314
music	dance	0.51223934
