Religion	StereoType
hindu	priest
hindu	law
hindu	secretary
hindu	minister
hindu	clerk
hindu	farmer
hindu	doctor
hindu	teacher
hindu	accountant
hindu	manager
hindu	police
hindu	engineer
hindu	business
hindu	mechanic
hindu	lawyer
hindu	chef
hindu	assistant
hindu	army
hindu	diplomat
hindu	educated
hindu	respected
hindu	judge
hindu	rich
hindu	poor
hindu	dentist
hindu	successful
hindu	science
hindu	history
hindu	music
hindu	art
hindu	management
hindu	politics
hindu	physics
hindu	chemistry
hindu	finance
hindu	technology
hindu	dance
hindu	vegetarian
hindu	powerful
hindu	strong
hindu	brave
hindu	calm
hindu	beautiful
hindu	aggressive
hindu	smart
hindu	emotional
hindu	spicy
