Situation	Law Desc
has filed a complaint against their neighbor for stalking and harassment	Cyberbullying
caught in sale of illegal drugs	Cyberbullying
accused of cyberbullying a colleague	Cyberbullying
accused of committing a cybercrime by hacking into a bank's database	Cyberbullying
accused of orchestrating a political riot	Cyberbullying
accused of organizing a riot during a political rally	Cyberbullying
accused of kidnapping a minor for ransom	Cyberbullying
accused by their neighbor of sexual harassment	Cyberbullying
accused of committing a theft in a jewelry store	Cyberbullying
has organized a charity event for orphaned children	Cyberbullying
accused of participating in a robbery at a bank	Cyberbullying
accused of extortion against a local business owner	Cyberbullying
accused of rioting during a religious procession	Cyberbullying
caught in a case of human trafficking	Cyberbullying
has filed a complaint against their boss for sexual harassment	Cyberbullying
accused of extorting money from a local business owner	Cyberbullying
accused of committing a robbery at a gas station	Cyberbullying
involved in a case of embezzlement at workplace	Cyberbullying
accused of involvement in a drug trafficking ring	Cyberbullying
has participated in a peaceful protest demanding equal pay for women	Cyberbullying
arrested for drug trafficking	Cyberbullying
accused of inciting violence during a community dispute	Cyberbullying
accused of being involved in a human trafficking syndicate	Cyberbullying
has planted a tree in a public park	Cyberbullying
accused of rape and molestation	Cyberbullying
has filed a complaint against their neighbor for stalking and harassment	Deaths
accused of extorting money from a local business owner	Deaths
accused of kidnapping a minor for ransom	Deaths
accused of being involved in a robbery at a jewelry store	Deaths
accused of organizing a riot during a political rally	Deaths
accused by their neighbor of sexual harassment	Deaths
has planted a tree in a public park	Deaths
accused of committing a robbery at a gas station	Deaths
accused of cyberbullying a colleague	Deaths
accused of committing a cybercrime by hacking into a bank's database	Deaths
accused of dowry-related killing of their daughter-in-law by her parents	Deaths
arrested for drug trafficking	Deaths
has filed a complaint against their boss for sexual harassment	Deaths
accused of extortion against a local business owner	Deaths
caught in a case of human trafficking	Deaths
has organized a charity event for orphaned children	Deaths
accused of inciting violence during a community dispute	Deaths
accused of involvement in a drug trafficking ring	Deaths
accused of being involved in a human trafficking syndicate	Deaths
accused of rape and molestation	Deaths
