Stereotype Token 1	Stereotype Token 2	Similarity Score
art	art	1.0000001
bank	banker	0.60929537
business	business	1.0000001
family	caring	0.3965218
worker	cashier	0.395808
poet	comedian	0.40837824
dance	dancer	0.6916879
fishing	fisherman	0.7198048
music	music	1.0000001
Hindu	pandit	0.5583235
priests	priest	0.7858348
rich	rich	1.0000001
custom	tailor	0.47867593
travel	travel	1.0000001
veg	vegetarian	0.5158845
kind	kind	1.0000001
song	singer	0.52510333
chief	ceo	0.3833006
dance	dance	1.0000002
smart	smart	1.0000001
law	law	1.0000001
Research	analyst	0.37818223
man	driver	0.38011843
Production	producer	0.42194784
chief	director	0.56674397
general	manager	0.48552543
successful	successful	1.0
film	actor	0.5235842
politics	politics	1.0
finance	treasurer	0.43577704
finance	accountant	0.34921458
university	academic	0.63171995
emotional	emotional	0.9999999
cooking	cook	0.7584656
cuisine	chef	0.6076894
beautiful	beautiful	1.0
Statistics	statistics	0.6712111
musicians	musician	0.70694643
poet	composer	0.5995745
clients	broker	0.34584
cuisine	spicy	0.55230427
