Religion	StereoType
muslim	business
muslim	teacher
muslim	manager
muslim	secretary
muslim	clerk
muslim	minister
muslim	mechanic
muslim	lawyer
muslim	police
muslim	rich
muslim	educated
muslim	judge
muslim	successful
muslim	english
muslim	history
muslim	science
muslim	music
muslim	art
muslim	management
muslim	politics
muslim	technology
muslim	physics
muslim	dance
muslim	cooking
muslim	powerful
muslim	beautiful
muslim	strong
muslim	brave
muslim	angry
muslim	violent
muslim	smart
muslim	kind
muslim	aggressive
muslim	hated
muslim	protective
muslim	spicy
muslim	designer
