Religion	StereoType
sikh	manager
sikh	minister
sikh	army
sikh	engineer
sikh	police
sikh	farmer
sikh	accountant
sikh	soldier
sikh	policeman
sikh	lawyer
sikh	business
sikh	assistant
sikh	writer
sikh	chef
sikh	coach
sikh	supervisor
sikh	judge
sikh	director
sikh	educated
sikh	respected
sikh	successful
sikh	rich
sikh	history
sikh	science
sikh	english
sikh	management
sikh	art
sikh	politics
sikh	dance
sikh	cooking
sikh	finance
sikh	strong
sikh	powerful
sikh	angry
sikh	brave
sikh	violent
sikh	aggressive
sikh	beautiful
sikh	spicy
