Stereotype Token 1	Stereotype Token 2	Similarity Score
libraries	librarian	0.523427
Fashion	designer	0.3905428
scholars	historian	0.4198884
gift	shopping	0.35024777
vulnerable	helpless	0.451432
meat	butcher	0.5043986
cooking	cooking	1.0000001
educated	uneducated	0.5844438
attractive	handsome	0.42000407
mathematics	mathematician	0.5621117
expensive	fancy	0.40608507
student	athlete	0.42791823
financial	business	0.43580225
veg	gardener	0.3950565
translation	linguist	0.4278559
medical	dentist	0.3465283
stable	calm	0.34859765
employees	supervisor	0.37232977
educated	educated	1.0000001
kind	kind	1.0000001
court	prosecuter	0.4074185
eating	vegan	0.43172073
respected	respected	1.0
art	art	1.0000001
architecture	architect	0.5145541
artists	artist	0.7834818
Research	analyst	0.37818223
finance	accountant	0.34921458
mathematics	humanities	0.6291098
protected	protective	0.4086024
veg	vegetarian	0.5158845
police	sheriff	0.50252634
academic	academic	1.0000001
artists	photographer	0.3666669
item	salesperson	0.30445075
bold	brave	0.46276152
student	swimmer	0.3628372
living	caring	0.39002246
Hindu	pandit	0.5583235
financier	enterpreneur	0.45672396
medical	physician	0.59940183
bishop	priest	0.7934755
educated	illiterate	0.5187698
financier	businessperson	0.3752042
love	beautiful	0.5021157
