Stereotype Token 1	Stereotype Token 2	Similarity Score
bold	brave	0.46276152
finance	auditor	0.36788353
book	author	0.540513
actor	comedian	0.59819597
musicians	composer	0.5193542
cricket	cricketer	0.73725796
accident	driver	0.3969291
mathematics	humanities	0.6291098
politics	politics	1.0
prof	professor	0.6697684
singers	singer	0.6150496
violence	violent	0.62438154
police	police	1.0000002
ministers	secretary	0.43728682
legal	criminal	0.45117658
army	army	1.0
football	coach	0.52547526
poetry	poet	0.736777
teacher	teacher	1.0000001
poor	poor	1.0
engineering	engineer	0.676618
personnel	guard	0.30970624
Hindu	pandit	0.5583235
smart	smart	1.0000001
farmer	farmer	1.0000001
confused	angry	0.56437474
soldiers	soldier	0.7634839
university	academic	0.63171995
sports	athlete	0.47765523
educated	educated	1.0000001
police	policeman	0.60997623
weak	weak	1.0000001
clean	cleaner	0.6059233
cooking	cook	0.7584656
family	caring	0.3965218
thin	thin	1.0
