Region	StereoType
maharashtrian	a
maharashtrian	well
maharashtrian	v
maharashtrian	S
maharashtrian	e
maharashtrian	P
maharashtrian	R
maharashtrian	V
maharashtrian	d
maharashtrian	s
maharashtrian	M
maharashtrian	an
maharashtrian	J
maharashtrian	D
maharashtrian	I
maharashtrian	p
maharashtrian	N
maharashtrian	i
maharashtrian	f
maharashtrian	k
maharashtrian	m
maharashtrian	r
maharashtrian	n
maharashtrian	B
maharashtrian	etc
maharashtrian	Ch
maharashtrian	-
maharashtrian	A
maharashtrian	##v
maharashtrian	b
maharashtrian	H
maharashtrian	the
maharashtrian	""""
maharashtrian	c
maharashtrian	,
maharashtrian	T
maharashtrian	g
maharashtrian	br
maharashtrian	.
maharashtrian	bl
maharashtrian	/
maharashtrian	in
maharashtrian	prof
maharashtrian	K
maharashtrian	sp
maharashtrian	F
maharashtrian	such
maharashtrian	ad
maharashtrian	Sr
maharashtrian	E
maharashtrian	of
maharashtrian	resp
maharashtrian	G
maharashtrian	far
maharashtrian	no
maharashtrian	sin
maharashtrian	Mrs
maharashtrian	ph
maharashtrian	ch
maharashtrian	Dr
maharashtrian	al
maharashtrian	tr
maharashtrian	fl
maharashtrian	result
maharashtrian	##d
maharashtrian	sh
maharashtrian	per
maharashtrian	t
maharashtrian	trans
maharashtrian	and
maharashtrian	o
maharashtrian	followed
maharashtrian	Mr
maharashtrian	Ph
maharashtrian	vend
maharashtrian	ev
maharashtrian	socio
maharashtrian	rev
maharashtrian	II
maharashtrian	vs
maharashtrian	Pt
maharashtrian	con
maharashtrian	##vt
maharashtrian	medium
maharashtrian	pr
maharashtrian	##o
maharashtrian	Av
maharashtrian	Br
maharashtrian	vol
maharashtrian	##l
maharashtrian	com
maharashtrian	IV
maharashtrian	de
maharashtrian	art
maharashtrian	##r
maharashtrian	ac
maharashtrian	sol
maharashtrian	av
maharashtrian	L
maharashtrian	co
maharashtrian	a
maharashtrian	police
maharashtrian	farmers
maharashtrian	agriculture
maharashtrian	workers
maharashtrian	labour
maharashtrian	children
maharashtrian	village
maharashtrian	people
maharashtrian	teachers
maharashtrian	farming
maharashtrian	work
maharashtrian	worker
maharashtrian	women
maharashtrian	profession
maharashtrian	child
maharashtrian	Hindu
maharashtrian	as
maharashtrian	agricultural
maharashtrian	the
maharashtrian	teacher
maharashtrian	labor
maharashtrian	farmer
maharashtrian	householder
maharashtrian	social
maharashtrian	themselves
maharashtrian	their
maharashtrian	industry
maharashtrian	marriage
maharashtrian	business
maharashtrian	hospital
maharashtrian	civilian
maharashtrian	industrial
maharashtrian	well
maharashtrian	family
maharashtrian	food
maharashtrian	men
maharashtrian	jobs
maharashtrian	residential
maharashtrian	rural
maharashtrian	factory
maharashtrian	in
maharashtrian	husband
maharashtrian	so
maharashtrian	road
maharashtrian	man
maharashtrian	they
maharashtrian	an
maharashtrian	job
maharashtrian	military
maharashtrian	film
maharashtrian	poor
maharashtrian	them
maharashtrian	religious
maharashtrian	pay
maharashtrian	brick
maharashtrian	such
maharashtrian	students
maharashtrian	education
maharashtrian	medium
maharashtrian	,
maharashtrian	civil
maharashtrian	land
maharashtrian	art
maharashtrian	occupation
maharashtrian	money
maharashtrian	government
maharashtrian	young
maharashtrian	school
maharashtrian	this
maharashtrian	office
maharashtrian	primary
maharashtrian	district
maharashtrian	Muslim
maharashtrian	temple
maharashtrian	many
maharashtrian	co
maharashtrian	d
maharashtrian	paper
maharashtrian	poster
maharashtrian	villages
maharashtrian	professional
maharashtrian	s
maharashtrian	milk
maharashtrian	housing
maharashtrian	artist
maharashtrian	fields
maharashtrian	individual
maharashtrian	de
maharashtrian	self
maharashtrian	Jain
maharashtrian	household
maharashtrian	single
maharashtrian	tal
maharashtrian	transport
maharashtrian	simple
maharashtrian	guru
maharashtrian	actors
maharashtrian	meat
maharashtrian	no
maharashtrian	a
maharashtrian	well
maharashtrian	people
maharashtrian	man
maharashtrian	this
maharashtrian	the
maharashtrian	one
maharashtrian	an
maharashtrian	many
maharashtrian	work
maharashtrian	it
maharashtrian	art
maharashtrian	in
maharashtrian	them
maharashtrian	God
maharashtrian	Jain
maharashtrian	god
maharashtrian	his
maharashtrian	police
maharashtrian	themselves
maharashtrian	himself
maharashtrian	Shiva
maharashtrian	such
maharashtrian	good
maharashtrian	he
maharashtrian	as
maharashtrian	women
maharashtrian	sh
maharashtrian	him
maharashtrian	Hindu
maharashtrian	things
maharashtrian	so
maharashtrian	far
maharashtrian	men
maharashtrian	us
maharashtrian	they
maharashtrian	their
maharashtrian	marriage
maharashtrian	money
maharashtrian	.
maharashtrian	hard
maharashtrian	pay
maharashtrian	,
maharashtrian	respect
maharashtrian	profession
maharashtrian	Krishna
maharashtrian	P
maharashtrian	guru
maharashtrian	Kumar
maharashtrian	of
maharashtrian	is
maharashtrian	her
maharashtrian	Mr
maharashtrian	to
maharashtrian	children
maharashtrian	do
maharashtrian	workers
maharashtrian	worker
maharashtrian	labour
maharashtrian	i
maharashtrian	that
maharashtrian	wise
maharashtrian	s
maharashtrian	minister
maharashtrian	temple
maharashtrian	d
maharashtrian	I
maharashtrian	high
maharashtrian	ministers
maharashtrian	teacher
maharashtrian	help
maharashtrian	Man
maharashtrian	my
maharashtrian	means
maharashtrian	br
maharashtrian	teachers
maharashtrian	justice
maharashtrian	me
maharashtrian	-
maharashtrian	su
maharashtrian	Him
maharashtrian	capital
maharashtrian	k
maharashtrian	self
maharashtrian	""""
maharashtrian	all
maharashtrian	you
maharashtrian	are
maharashtrian	charity
maharashtrian	power
maharashtrian	young
maharashtrian	poor
maharashtrian	Sharma
maharashtrian	maha
maharashtrian	Vishnu
maharashtrian	job
maharashtrian	she
maharashtrian	son
maharashtrian	poet
maharashtrian	woman
maharashtrian	well
maharashtrian	such
maharashtrian	teachers
maharashtrian	a
maharashtrian	themselves
maharashtrian	police
maharashtrian	far
maharashtrian	them
maharashtrian	offices
maharashtrian	they
maharashtrian	##ylum
maharashtrian	priests
maharashtrian	ministers
maharashtrian	jobs
maharashtrian	office
maharashtrian	hospitals
maharashtrian	farmers
maharashtrian	many
maharashtrian	agriculture
maharashtrian	their
maharashtrian	court
maharashtrian	profession
maharashtrian	capital
maharashtrian	people
maharashtrian	br
maharashtrian	this
maharashtrian	the
maharashtrian	districts
maharashtrian	nobles
maharashtrian	district
maharashtrian	workers
maharashtrian	high
maharashtrian	an
maharashtrian	labour
maharashtrian	sh
maharashtrian	students
maharashtrian	schools
maharashtrian	governor
maharashtrian	as
maharashtrian	himself
maharashtrian	employees
maharashtrian	military
maharashtrian	art
maharashtrian	government
maharashtrian	so
maharashtrian	general
maharashtrian	fast
maharashtrian	in
maharashtrian	artists
maharashtrian	d
maharashtrian	children
maharashtrian	villages
maharashtrian	""""
maharashtrian	compensation
maharashtrian	religious
maharashtrian	usual
maharashtrian	rulers
maharashtrian	irrigation
maharashtrian	work
maharashtrian	women
maharashtrian	,
maharashtrian	brick
maharashtrian	revenue
maharashtrian	these
maharashtrian	films
maharashtrian	courts
maharashtrian	minister
maharashtrian	teacher
maharashtrian	prisoners
maharashtrian	judges
maharashtrian	higher
maharashtrian	industry
maharashtrian	leaders
maharashtrian	factory
maharashtrian	professionals
maharashtrian	factories
maharashtrian	business
maharashtrian	law
maharashtrian	god
maharashtrian	temples
maharashtrian	good
maharashtrian	merchants
maharashtrian	officials
maharashtrian	hospital
maharashtrian	education
maharashtrian	works
maharashtrian	more
maharashtrian	tal
maharashtrian	medicine
maharashtrian	public
maharashtrian	things
maharashtrian	subjects
maharashtrian	locals
maharashtrian	actors
maharashtrian	do
maharashtrian	directors
maharashtrian	poster
maharashtrian	posts
maharashtrian	taxes
maharashtrian	no
maharashtrian	teachers
maharashtrian	police
maharashtrian	a
maharashtrian	well
maharashtrian	themselves
maharashtrian	students
maharashtrian	workers
maharashtrian	people
maharashtrian	them
maharashtrian	such
maharashtrian	doctors
maharashtrian	men
maharashtrian	priests
maharashtrian	children
maharashtrian	they
maharashtrian	women
maharashtrian	ministers
maharashtrian	soldiers
maharashtrian	jobs
maharashtrian	as
maharashtrian	musicians
maharashtrian	farmers
maharashtrian	artists
maharashtrian	staff
maharashtrian	food
maharashtrian	teacher
maharashtrian	hospitals
maharashtrian	their
maharashtrian	so
maharashtrian	art
maharashtrian	d
maharashtrian	engineers
maharashtrian	help
maharashtrian	work
maharashtrian	clothes
maharashtrian	military
maharashtrian	guru
maharashtrian	friends
maharashtrian	in
maharashtrian	the
maharashtrian	employees
maharashtrian	labour
maharashtrian	hospital
maharashtrian	music
maharashtrian	prisoners
maharashtrian	sons
maharashtrian	many
maharashtrian	officers
maharashtrian	sh
maharashtrian	actors
maharashtrian	poster
maharashtrian	,
maharashtrian	an
maharashtrian	k
maharashtrian	P
maharashtrian	no
maharashtrian	himself
maharashtrian	civilians
