Stereotype Token 1	Stereotype Token 2	Similarity Score
confused	angry	0.56437474
dance	dancer	0.6916879
English	english	0.6651164
court	judge	0.6972731
mathematics	mathematician	0.5621117
music	musician	0.56207716
Hindu	pandit	0.5583235
politics	politics	1.0
respected	respected	1.0
song	singer	0.52510333
cuisine	spicy	0.55230427
writers	writer	0.66411066
finance	finance	1.0
music	music	1.0000001
teacher	teacher	1.0000001
technology	technology	0.9999999
science	science	1.0
dance	dance	1.0000002
court	lawyer	0.42873257
successful	successful	1.0
doctors	doctor	0.7476574
chief	ceo	0.3833006
prof	professor	0.6697684
politicians	politician	0.61956024
technology	electronics	0.41119266
engineering	engineer	0.676618
legal	attorney	0.41403347
smart	smart	1.0000001
academic	academic	1.0000001
science	scientist	0.537241
music	composer	0.4921351
fish	fisherman	0.58053946
Statistics	statistics	0.6712111
priests	priest	0.7858348
veg	vegetarian	0.5158845
History	historian	0.45058358
mathematics	physics	0.6027366
economics	economist	0.4963405
beautiful	handsome	0.44486606
official	diplomat	0.430682
bold	courageous	0.49756005
mathematics	maths	0.74198306
mathematics	humanities	0.6291098
