Stereotype Token 1	Stereotype Token 2	Similarity Score
social	caregiving	0.34040076
physics	physics	1.0000001
active	aggressive	0.42134055
university	academic	0.63171995
music	musician	0.56207716
Cricket	umpire	0.3409972
music	composer	0.4921351
teachers	teacher	0.7434304
property	realtor	0.45799085
photography	illustrator	0.45618656
court	lawyer	0.42873257
Fashion	designer	0.3905428
passengers	pilot	0.29946595
terrorism	terrorist	0.7522498
cuisine	chef	0.6076894
householder	pensioner	0.6063662
journalism	journalist	0.5779872
educated	illiterate	0.5187698
fit	tailor	0.41013092
Bengali	washerman	0.49591753
cuisine	restaurateur	0.46448144
music	dance	0.51223934
production	producer	0.51410484
science	scientist	0.537241
writing	writer	0.51014125
politics	politics	1.0
art	artist	0.5701863
prof	professor	0.6697684
court	judge	0.6972731
educated	educated	1.0000001
mathematics	mathematician	0.5621117
business	business	1.0000001
technology	technology	0.9999999
Research	analyst	0.37818223
inferior	lowly	0.36877733
architecture	architect	0.5145541
mathematics	maths	0.74198306
cuisine	spicy	0.55230427
history	history	1.0000001
sport	athlete	0.51244277
man	janitor	0.4005738
banking	broker	0.35246786
business	businessperson	0.44731387
general	chief	0.39134473
efficient	cleaner	0.4679095
football	golfer	0.40031216
libraries	librarian	0.523427
strong	strong	1.0
psychology	psychologist	0.57688236
office	receptionist	0.42119583
successful	successful	1.0
office	clerk	0.35070068
History	historian	0.45058358
translation	linguist	0.4278559
powerful	powerful	1.0
ministers	secretary	0.43728682
music	singer	0.42901424
officers	firefighter	0.4515909
cuisine	waiter	0.41588452
maintenance	mechanic	0.36390546
protected	protective	0.4086024
performing	dancer	0.31714314
police	detective	0.57250977
bold	brave	0.46276152
maintenance	management	0.37300548
occupation	oppressive	0.43443096
general	manager	0.48552543
science	science	1.0
mathematics	humanities	0.6291098
English	english	0.6651164
cooking	cooking	1.0000001
man	carpenter	0.35935768
cooking	baker	0.39742088
householder	gardener	0.40287364
art	art	1.0000001
film	actor	0.5235842
beautiful	beautiful	1.0
police	police	1.0000002
politicians	politician	0.61956024
beautiful	handsome	0.44486606
photography	photographer	0.6437663
rich	rich	1.0000001
workers	electrician	0.3863099
smart	smart	1.0000001
ministry	minister	0.7632002
concerned	angry	0.42653692
child	babysitter	0.59857583
business	shopping	0.32304654
kind	kind	1.0000001
economics	economist	0.4963405
personnel	guard	0.30970624
meat	butcher	0.5043986
finance	treasurer	0.43577704
maintenance	cleaning	0.48491213
expensive	fancy	0.40608507
financier	enterpreneur	0.45672396
police	sheriff	0.50252634
Dr	chemist	0.3651785
finance	auditor	0.36788353
someone	salesperson	0.41229603
weak	thin	0.42229897
football	coach	0.52547526
violent	violent	1.0000001
doctors	dentist	0.43190905
book	author	0.540513
poetry	poet	0.736777
court	prosecuter	0.4074185
cricket	cricketer	0.73725796
man	barber	0.34525374
bold	courageous	0.49756005
music	music	1.0000001
soldiers	soldier	0.7634839
