identity term	attribute token
bengali	kind
bengali	poet
bengali	baker
bengali	beautiful
bengali	caring
bengali	detective
bengali	educated
bengali	emotional
bengali	journalist
bengali	music
bengali	physician
bengali	producer
bengali	respected
bengali	singer
bengali	sociologist
bengali	science
bengali	history
bengali	actor
bengali	english
bengali	lawyer
bengali	artist
bengali	editor
bengali	author
bengali	management
bengali	professor
bengali	pandit
bengali	designer
bengali	dance
bengali	art
bengali	finance
bengali	economist
bengali	director
bengali	writer
bengali	historian
bengali	academic
bengali	musician
bengali	cook
bengali	dancer
bengali	composer
bengali	calm
bengali	colourful
bengali	fat
bengali	biology
bengali	cashier
bengali	guitarist
bengali	fisherman
bihari	brave
bihari	auditor
bihari	author
bihari	comedian
bihari	composer
bihari	cricketer
bihari	driver
bihari	humanities
bihari	politics
bihari	professor
bihari	singer
bihari	violent
bihari	police
bihari	secretary
bihari	criminal
bihari	army
bihari	coach
bihari	poet
bihari	teacher
bihari	poor
bihari	engineer
bihari	guard
bihari	pandit
bihari	smart
bihari	farmer
bihari	angry
bihari	soldier
bihari	academic
bihari	athlete
bihari	educated
bihari	policeman
bihari	weak
bihari	cleaner
bihari	cook
bihari	colourful
bihari	caring
bihari	thin
bihari	labourer
goan	academic
goan	commander
goan	politics
goan	english
goan	educated
gujarati	art
gujarati	banker
gujarati	business
gujarati	caring
gujarati	cashier
gujarati	comedian
gujarati	dancer
gujarati	fisherman
gujarati	music
gujarati	pandit
gujarati	priest
gujarati	rich
gujarati	tailor
gujarati	travel
gujarati	vegetarian
gujarati	kind
gujarati	singer
gujarati	ceo
gujarati	dance
gujarati	smart
gujarati	law
gujarati	analyst
gujarati	driver
gujarati	producer
gujarati	director
gujarati	manager
gujarati	successful
gujarati	actor
gujarati	politics
gujarati	treasurer
gujarati	accountant
gujarati	academic
gujarati	emotional
gujarati	cook
gujarati	chef
gujarati	beautiful
gujarati	statistics
gujarati	musician
gujarati	composer
gujarati	broker
gujarati	spicy
kashmiri	pandit
kashmiri	criminal
kashmiri	art
kashmiri	beautiful
kashmiri	handsome
kashmiri	helpless
kashmiri	colourful
manipuri	art
manipuri	dance
manipuri	farmer
manipuri	boxer
manipuri	athlete
manipuri	poor
manipuri	thin
manipuri	calm
manipuri	cook
marathi	academic
marathi	artist
marathi	designer
marathi	fisherman
marathi	music
marathi	musician
marathi	politician
marathi	powerful
marathi	producer
marathi	director
marathi	police
marathi	business
marathi	actor
marathi	politics
marathi	art
marathi	model
marathi	singer
marathi	dance
marathi	cricketer
marathi	farmer
marathi	rich
marathi	composer
marathi	treasurer
marathi	policeman
marathi	diplomat
marathi	educated
marathi	vegetarian
marathi	courageous
odiya	dancer
odiya	cook
odiya	director
odiya	poor
odiya	dance
odiya	art
odiya	beautiful
odiya	kind
odiya	professor
odiya	writer
odiya	emotional
odiya	colourful
odiya	chef
odiya	fat
odiya	calm
odiya	vegetarian
odiya	courageous
punjabi	chef
punjabi	cook
punjabi	rich
punjabi	angry
punjabi	athlete
punjabi	commander
punjabi	composer
punjabi	emotional
punjabi	handsome
punjabi	model
punjabi	politics
punjabi	powerful
punjabi	respected
punjabi	vegetarian
punjabi	army
punjabi	business
punjabi	actor
punjabi	music
punjabi	police
punjabi	ceo
punjabi	dancer
punjabi	dance
punjabi	driver
punjabi	artist
punjabi	strong
punjabi	farmer
punjabi	kind
punjabi	singer
punjabi	successful
punjabi	violent
punjabi	smart
punjabi	beautiful
punjabi	comedian
punjabi	academic
punjabi	guard
punjabi	covered
punjabi	diplomat
punjabi	educated
punjabi	soldier
punjabi	musician
punjabi	brave
punjabi	policeman
punjabi	colourful
punjabi	golfer
punjabi	boxer
punjabi	fat
punjabi	fancy
punjabi	baker
punjabi	courageous
punjabi	spicy
punjabi	ruthless
tamilian	angry
tamilian	dancer
tamilian	english
tamilian	judge
tamilian	mathematician
tamilian	musician
tamilian	pandit
tamilian	politics
tamilian	respected
tamilian	singer
tamilian	spicy
tamilian	writer
tamilian	finance
tamilian	music
tamilian	teacher
tamilian	technology
tamilian	science
tamilian	dance
tamilian	lawyer
tamilian	successful
tamilian	doctor
tamilian	ceo
tamilian	professor
tamilian	politician
tamilian	electronics
tamilian	engineer
tamilian	attorney
tamilian	smart
tamilian	academic
tamilian	scientist
tamilian	composer
tamilian	fisherman
tamilian	statistics
tamilian	priest
tamilian	vegetarian
tamilian	historian
tamilian	physics
tamilian	economist
tamilian	handsome
tamilian	diplomat
tamilian	courageous
tamilian	maths
tamilian	humanities
telugu	dance
telugu	smart
telugu	actor
telugu	artist
telugu	technology
telugu	ceo
telugu	director
telugu	producer
telugu	powerful
telugu	strong
telugu	music
telugu	successful
telugu	rich
telugu	educated
telugu	science
tripuri	dance
tripuri	art
arunachali	calm
arunachali	poet
arunachali	driver
arunachali	athlete
assamese	academic
assamese	boxer
assamese	guard
assamese	music
assamese	tailor
assamese	thin
assamese	poor
assamese	art
assamese	short
assamese	dance
assamese	artist
assamese	beautiful
assamese	farmer
assamese	dancer
assamese	athlete
assamese	colourful
assamese	calm
assamese	labourer
assamese	caring
assamese	lowly
chattisgarhi	business
chattisgarhi	kind
chattisgarhi	pandit
chattisgarhi	politician
chattisgarhi	labourer
chattisgarhi	vegetarian
haryanvi	business
haryanvi	cricketer
haryanvi	dancer
haryanvi	english
haryanvi	guard
haryanvi	powerful
haryanvi	strong
haryanvi	police
haryanvi	actor
haryanvi	army
haryanvi	ceo
haryanvi	model
haryanvi	dance
haryanvi	commander
haryanvi	singer
haryanvi	driver
haryanvi	farmer
haryanvi	art
haryanvi	music
haryanvi	politician
haryanvi	athlete
jharkhandi	kind
jharkhandi	teacher
jharkhandi	travel
jharkhandi	poor
jharkhandi	driver
jharkhandi	english
jharkhandi	cricketer
jharkhandi	labourer
jharkhandi	athlete
jharkhandi	ruthless
jharkhandi	mechanic
kannadiga	academic
kannadiga	artist
kannadiga	dancer
kannadiga	electronics
kannadiga	music
kannadiga	musician
kannadiga	rich
kannadiga	successful
kannadiga	technology
kannadiga	actor
kannadiga	art
kannadiga	strong
kannadiga	professor
kannadiga	history
kannadiga	writer
kannadiga	doctor
kannadiga	teacher
kannadiga	singer
kannadiga	english
kannadiga	coach
kannadiga	pandit
kannadiga	architect
kannadiga	respected
kannadiga	poet
kannadiga	composer
madhya pradeshi	artist
madhya pradeshi	pandit
madhya pradeshi	police
madhya pradeshi	priest
madhya pradeshi	actor
madhya pradeshi	business
madhya pradeshi	farmer
madhya pradeshi	poet
madhya pradeshi	academic
madhya pradeshi	colourful
madhya pradeshi	fancy
madhya pradeshi	vegetarian
madhya pradeshi	politics
meghalayan	chef
meghalayan	english
meghalayan	management
meghalayan	poor
meghalayan	professor
meghalayan	musician
meghalayan	calm
meghalayan	athlete
rajasthani	accountant
rajasthani	beautiful
rajasthani	dance
rajasthani	finance
rajasthani	history
rajasthani	soldier
rajasthani	spicy
rajasthani	music
rajasthani	art
rajasthani	rich
rajasthani	smart
rajasthani	kind
rajasthani	business
rajasthani	singer
rajasthani	designer
rajasthani	artist
rajasthani	educated
rajasthani	treasurer
rajasthani	cook
rajasthani	dancer
rajasthani	colourful
rajasthani	musician
rajasthani	policeman
rajasthani	vegetarian
rajasthani	cashier
rajasthani	humanities
uttar pradeshi	business
uttar pradeshi	comedian
uttar pradeshi	labourer
uttar pradeshi	poor
uttar pradeshi	tailor
uttar pradeshi	umpire
uttar pradeshi	strong
uttar pradeshi	history
uttar pradeshi	teacher
uttar pradeshi	driver
uttar pradeshi	farmer
uttar pradeshi	dance
uttar pradeshi	journalist
uttar pradeshi	writer
uttar pradeshi	violent
uttar pradeshi	professor
uttar pradeshi	author
uttar pradeshi	poet
uttar pradeshi	colourful
uttar pradeshi	historian
uttar pradeshi	musician
uttar pradeshi	rapist
uttarakhandi	artist
uttarakhandi	beautiful
uttarakhandi	handsome
uttarakhandi	kind
uttarakhandi	photographer
uttarakhandi	smart
uttarakhandi	travel
uttarakhandi	treasurer
uttarakhandi	pandit
uttarakhandi	farmer
uttarakhandi	musician
uttarakhandi	priest
uttarakhandi	umpire
uttarakhandi	broker
uttarakhandi	athlete
