Stereotype Token 1	Stereotype Token 2	Similarity Score
doctors	dentist	0.43190905
violent	violent	1.0000001
cuisine	chef	0.6076894
musicians	pianist	0.61940235
fat	fat	1.0000001
crime	criminal	0.50458133
musicians	musician	0.70694643
finance	accountant	0.34921458
Bollywood	cricketer	0.40906283
English	english	0.6651164
drink	bartender	0.41273314
minister	diplomat	0.43101016
successful	successful	1.0
protected	protective	0.4086024
court	lawyer	0.42873257
art	artist	0.5701863
boys	coach	0.39794835
fire	firefighter	0.49586013
bank	cashier	0.3231654
family	caring	0.3965218
dir	director	0.4132055
business	businessperson	0.44731387
finance	finance	1.0
householder	pensioner	0.6063662
engineering	engineer	0.676618
banking	broker	0.35246786
actors	comedian	0.37819
song	singer	0.52510333
personnel	guard	0.30970624
farmers	farmer	0.768983
respected	respected	1.0
science	science	1.0
minister	minister	1.0
beautiful	beautiful	1.0
occupation	oppressive	0.43443096
smart	mover	0.26941496
Dr	ceo	0.3342542
photography	illustrator	0.45618656
cop	policeman	0.65745634
mathematics	humanities	0.6291098
fighters	boxer	0.51208895
court	judge	0.6972731
chemical	chemist	0.4955343
cuisine	spicy	0.55230427
shops	shopping	0.4707718
writing	writer	0.51014125
workers	electrician	0.3863099
general	manager	0.48552543
financial	management	0.34926656
administrative	assistant	0.39936593
employees	supervisor	0.37232977
cuisine	restaurateur	0.46448144
history	history	1.0000001
music	dance	0.51223934
sports	athlete	0.47765523
translation	linguist	0.4278559
art	art	1.0000001
teacher	janitor	0.43530637
police	police	1.0000002
powerful	powerful	1.0
photography	photographer	0.6437663
expensive	fancy	0.40608507
clients	salesperson	0.36330125
bold	brave	0.46276152
cooking	cooking	1.0000001
cuisine	waiter	0.41588452
rich	rich	1.0000001
bold	courageous	0.49756005
police	sheriff	0.50252634
army	army	1.0
principal	chief	0.4324886
architecture	architect	0.5145541
business	business	1.0000001
musicians	composer	0.5193542
active	aggressive	0.42134055
soldiers	soldier	0.7634839
financier	enterpreneur	0.45672396
confused	angry	0.56437474
singing	dancer	0.4367008
politicians	politician	0.61956024
politics	politics	1.0
educated	educated	1.0000001
strong	strong	1.0
man	golfer	0.34899053
householder	gardener	0.40287364
