Stereotype Token 1	Stereotype Token 2	Similarity Score
kind	kind	1.0000001
poets	poet	0.7711947
cooking	baker	0.39742088
beautiful	beautiful	1.0
family	caring	0.3965218
police	detective	0.57250977
educated	educated	1.0000001
emotional	emotional	0.9999999
journalism	journalist	0.5779872
music	music	1.0000001
medicine	physician	0.5099453
production	producer	0.51410484
respected	respected	1.0
song	singer	0.52510333
psychology	sociologist	0.49011278
science	science	1.0
history	history	1.0000001
actors	actor	0.6519853
English	english	0.6651164
court	lawyer	0.42873257
art	artist	0.5701863
journalism	editor	0.44759008
published	author	0.45000568
financial	management	0.34926656
prof	professor	0.6697684
Hindu	pandit	0.5583235
Fashion	designer	0.3905428
dance	dance	1.0000002
art	art	1.0000001
finance	finance	1.0
Economics	economist	0.5325481
chief	director	0.56674397
writers	writer	0.66411066
scholars	historian	0.4198884
academic	academic	1.0000001
music	musician	0.56207716
cooking	cook	0.7584656
dance	dancer	0.6916879
musical	composer	0.5871407
safe	calm	0.38019657
fat	fat	1.0000001
science	biology	0.67757845
restaurant	cashier	0.39307427
vocals	guitarist	0.64029413
fish	fisherman	0.58053946
