Stereotype Token 1	Stereotype Token 2	Similarity Score
homes	realtor	0.31612998
respected	respected	1.0
parents	babysitter	0.53640515
police	policeman	0.60997623
diet	fat	0.50186753
educated	educated	1.0000001
fish	fisherman	0.58053946
history	history	1.0000001
successful	successful	1.0
science	chemistry	0.42221928
cuisine	spicy	0.55230427
chief	supervisor	0.4075753
cooking	cleaning	0.35797316
man	mechanic	0.32070184
university	academic	0.63171995
eating	vegan	0.43172073
officers	firefighter	0.4515909
finance	auditor	0.36788353
Vishnu	washerman	0.51575816
workers	electrician	0.3863099
players	golfer	0.37875226
research	analyst	0.32658938
poets	poet	0.7711947
cooking	cooking	1.0000001
clothing	electronics	0.37597263
music	music	1.0000001
dance	dancer	0.6916879
art	artist	0.5701863
personnel	guard	0.30970624
architecture	architect	0.5145541
minister	secretary	0.6038483
wise	smart	0.4707729
song	singer	0.52510333
veg	gardener	0.3950565
beautiful	handsome	0.44486606
police	detective	0.57250977
economic	economist	0.3824704
engineering	engineer	0.676618
politics	politics	1.0
man	handyman	0.43220198
social	caregiving	0.34040076
poor	poor	1.0
police	police	1.0000002
prof	physicist	0.47209236
art	art	1.0000001
business	business	1.0000001
law	law	1.0000001
court	prosecuter	0.4074185
science	science	1.0
rich	rich	1.0000001
Technology	technology	0.5899151
family	caring	0.3965218
chief	director	0.56674397
pal	comedian	0.3848903
chief	commander	0.49479878
bank	broker	0.33610126
teachers	teacher	0.7434304
leadership	management	0.36232454
beautiful	beautiful	1.0
musical	guitarist	0.44180927
powerful	powerful	1.0
office	receptionist	0.42119583
army	army	1.0
science	astronaut	0.2958577
psychology	psychologist	0.57688236
theology	theologian	0.67482126
court	judge	0.6972731
office	clerk	0.35070068
court	lawyer	0.42873257
active	aggressive	0.42134055
History	historian	0.45058358
priest	carpenter	0.38178104
painting	illustrator	0.45131633
finance	accountant	0.34921458
music	musician	0.56207716
bank	cashier	0.3231654
soldiers	soldier	0.7634839
chief	ceo	0.3833006
cooking	baker	0.39742088
priest	goldsmith	0.30375317
bold	courageous	0.49756005
priest	journalist	0.34142768
finance	treasurer	0.43577704
book	author	0.540513
man	pensioner	0.3870366
guru	enterpreneur	0.38268194
writing	writer	0.51014125
strong	strong	1.0
man	janitor	0.4005738
business	salesperson	0.3454164
mathematics	physics	0.6027366
cricket	cricketer	0.73725796
politicians	politician	0.61956024
finance	finance	1.0
production	producer	0.51410484
cuisine	chef	0.6076894
principal	counselor	0.35381508
business	businessperson	0.44731387
chief	assistant	0.4435704
bold	brave	0.46276152
minister	minister	1.0
minister	diplomat	0.43101016
passengers	pilot	0.29946595
expensive	fancy	0.40608507
Writing	editor	0.42103434
stable	calm	0.34859765
legal	attorney	0.41403347
man	boxer	0.39023072
sport	athlete	0.51244277
psychology	sociologist	0.49011278
science	scientist	0.537241
painting	painter	0.70379776
style	model	0.32911307
man	plumber	0.3505568
mathematics	humanities	0.6291098
cuisine	waiter	0.41588452
Linguistics	linguist	0.4862114
general	manager	0.48552543
emotional	emotional	0.9999999
efficient	cleaner	0.4679095
priest	priest	1.0000001
hospital	nurse	0.5039894
actors	actor	0.6519853
mathematics	maths	0.74198306
protected	protective	0.4086024
musical	composer	0.5871407
business	shopping	0.32304654
guru	consultant	0.5474205
farmers	farmer	0.768983
medical	doctor	0.5671392
dance	dance	1.0000002
Hindu	pandit	0.5583235
cuisine	restaurateur	0.46448144
prof	professor	0.6697684
weak	thin	0.42229897
medical	dentist	0.3465283
man	barber	0.34525374
players	coach	0.5018816
veg	vegetarian	0.5158845
